city,location,time,weather,crime_type,cctv,police,traffic,speed,temp,rainfall,accidents,complaints,severity
Hyderabad,Kukatpally,Midnight,sunny,Theft,7,4,2,27,40,150,5,7,5.68
Chennai,Mylapore,Afternoon,stormy,Mobile Theft,7,3,3,18,38,35,7,8,6.57
Kolkata,Behala,Midnight,foggy,Fraud,6,0,1,6,27,109,0,7,6.86
Hyderabad,LB Nagar,Evening,stormy,Assault,2,2,7,16,23,120,8,3,8.83
Hyderabad,Abids,Night,rainy,Burglary,1,3,9,62,20,240,8,3,8.18
Bangalore,BTM Layout,Afternoon,rainy,Vandalism,0,4,2,60,35,258,2,6,5.41
Delhi,Vasant Kunj,Midnight,sunny,Carjacking,5,1,7,28,21,89,4,3,7.9
Delhi,Dwarka,Night,rainy,Theft,8,0,3,41,32,29,6,9,7.37
Pune,Chinchwad,Night,cloudy,Vandalism,2,0,5,33,29,236,7,9,8.52
Ahmedabad,Isanpur,Afternoon,rainy,Robbery,4,1,6,46,22,169,6,6,7.42
Ahmedabad,Vastrapur,Midnight,sunny,Robbery,8,4,8,22,42,148,2,8,8.32
Ahmedabad,Chandkheda,Night,sunny,Mobile Theft,8,2,4,7,34,87,6,8,6.99
Ahmedabad,Nikol,Night,cloudy,Mobile Theft,6,1,2,17,30,3,0,8,6.1
Kolkata,Ultadanga,Morning,sunny,Robbery,3,2,3,33,31,251,4,9,6.79
Kolkata,Park Street,Night,foggy,Eve Teasing,1,4,8,70,17,50,8,9,8.8
Hyderabad,Banjara Hills,Morning,stormy,Chain Snatching,1,3,7,63,27,23,1,5,5.54
Mumbai,Goregaon,Midnight,rainy,Assault,3,3,6,52,23,45,2,0,6.68
Bangalore,BTM Layout,Midnight,foggy,Fraud,0,4,5,8,34,115,8,7,8.41
Bangalore,Yeshwanthpur,Midnight,rainy,Vandalism,3,2,5,55,29,26,2,5,5.84
Ahmedabad,Maninagar,Evening,foggy,Fraud,5,1,1,9,40,94,7,6,5.85
Hyderabad,Miyapur,Midnight,rainy,Fraud,5,4,6,43,40,98,5,1,6.09
Pune,Shivajinagar,Night,cloudy,Vandalism,6,4,9,45,44,115,6,2,5.91
Chennai,Adyar,Afternoon,sunny,Chain Snatching,4,3,8,9,41,275,4,5,6.36
Mumbai,Borivali,Morning,sunny,Eve Teasing,8,1,1,12,30,94,9,2,4.43
Hyderabad,Miyapur,Evening,cloudy,Cyber Crime,1,3,6,60,30,198,6,4,5.2
Mumbai,Andheri,Midnight,foggy,Eve Teasing,1,2,3,29,33,145,9,3,8.04
Mumbai,Kurla,Midnight,stormy,Burglary,3,2,6,56,18,154,9,4,8.97
Mumbai,Thane,Afternoon,foggy,Mobile Theft,3,0,9,56,33,269,2,7,7.39
Hyderabad,Jubilee Hills,Afternoon,sunny,Cyber Crime,3,4,6,11,33,275,4,3,5.41
Ahmedabad,Bopal,Evening,stormy,Assault,0,1,8,65,16,255,5,8,9.61
Bangalore,HSR Layout,Morning,rainy,Burglary,3,1,6,51,20,44,8,2,6.07
Bangalore,Koramangala,Midnight,stormy,Chain Snatching,4,3,6,70,27,0,3,6,8.3
Ahmedabad,Vastrapur,Evening,foggy,Fraud,8,3,7,63,29,146,7,6,5.66
Mumbai,Kurla,Night,cloudy,Assault,2,1,4,9,24,294,7,0,7.14
Chennai,Tambaram,Night,rainy,Burglary,2,3,8,48,36,154,9,2,8.7
Delhi,Dwarka,Evening,foggy,Mobile Theft,4,0,4,46,24,55,5,9,6.95
Hyderabad,Abids,Midnight,rainy,Burglary,9,4,7,65,18,225,7,0,5.65
Delhi,Janakpuri,Evening,stormy,Robbery,5,0,1,67,28,6,4,7,7.29
Pune,Kothrud,Midnight,sunny,Eve Teasing,2,2,9,54,22,19,0,9,8.03
Ahmedabad,Navrangpura,Afternoon,foggy,Pickpocketing,0,1,9,42,20,158,3,4,7.52
Chennai,Nungambakkam,Evening,cloudy,Burglary,9,0,7,58,26,78,5,3,6.22
Hyderabad,Banjara Hills,Midnight,stormy,Theft,7,0,8,48,22,0,8,2,7.48
Ahmedabad,Chandkheda,Evening,foggy,Cyber Crime,0,3,2,28,20,228,3,6,5.68
Mumbai,Bandra,Evening,cloudy,Robbery,1,3,7,67,29,212,5,7,8.57
Bangalore,Jayanagar,Midnight,foggy,Fraud,2,3,1,43,43,282,9,7,8.4
Delhi,Saket,Midnight,stormy,Carjacking,5,2,3,16,39,247,4,0,7.73
Kolkata,Behala,Morning,foggy,Eve Teasing,3,0,6,67,33,118,8,6,7.43
Kolkata,Tollygunge,Evening,rainy,Chain Snatching,3,4,5,13,28,226,9,4,7.95
Chennai,Adyar,Night,stormy,Vandalism,8,3,5,26,17,23,5,1,5.14
Mumbai,Borivali,Evening,foggy,Chain Snatching,5,2,9,40,32,189,2,7,7.54
Pune,Kothrud,Evening,sunny,Robbery,1,2,6,78,24,56,1,1,5.6
Delhi,Janakpuri,Midnight,foggy,Mobile Theft,6,3,3,32,28,88,2,5,6.54
Mumbai,Dadar,Evening,rainy,Mobile Theft,2,1,2,60,28,274,5,4,6.39
Delhi,Connaught Place,Evening,cloudy,Mobile Theft,8,0,9,33,36,108,9,5,6.74
Chennai,Guindy,Night,cloudy,Theft,5,3,4,9,21,140,7,9,7.37
Chennai,Guindy,Midnight,cloudy,Chain Snatching,7,4,5,8,21,284,7,7,7.92
Pune,Hadapsar,Evening,sunny,Theft,0,0,9,55,35,243,4,8,8.13
Kolkata,Gariahat,Afternoon,rainy,Vandalism,1,2,5,19,36,73,0,2,4.25
Mumbai,Malad,Morning,stormy,Carjacking,5,4,7,64,37,261,0,2,5.46
Hyderabad,Mehdipatnam,Night,cloudy,Eve Teasing,2,0,2,30,25,175,6,6,8.3
Kolkata,Howrah,Evening,rainy,Eve Teasing,0,4,2,27,32,229,1,2,5.17
Mumbai,Bandra,Afternoon,foggy,Pickpocketing,5,2,4,33,24,75,3,9,5.91
Kolkata,New Town,Evening,sunny,Theft,4,3,8,61,29,182,9,4,6.64
Hyderabad,LB Nagar,Evening,rainy,Vandalism,8,4,2,66,44,273,4,9,6.42
Bangalore,BTM Layout,Midnight,rainy,Burglary,5,3,7,63,26,276,7,3,8.66
Bangalore,Yeshwanthpur,Midnight,stormy,Burglary,4,2,1,52,37,226,9,8,8.67
Pune,Shivajinagar,Midnight,rainy,Fraud,0,2,9,39,31,164,8,7,9.64
Bangalore,Jayanagar,Afternoon,stormy,Theft,0,4,6,50,36,274,0,8,7.02
Bangalore,HSR Layout,Evening,sunny,Assault,0,4,1,37,38,216,8,5,6.47
Ahmedabad,Vastrapur,Morning,sunny,Chain Snatching,6,2,6,75,43,189,4,1,4.54
Delhi,Dwarka,Night,foggy,Fraud,5,4,5,14,31,17,3,7,7.04
Ahmedabad,Satellite,Midnight,stormy,Fraud,4,4,5,52,15,231,9,0,6.65
Ahmedabad,Navrangpura,Midnight,stormy,Fraud,3,4,5,48,20,183,4,4,6.24
Pune,Wakad,Evening,cloudy,Vandalism,7,4,4,74,35,105,8,1,3.58
Ahmedabad,Bopal,Evening,cloudy,Mobile Theft,7,0,7,67,29,242,7,6,7.2
Bangalore,Yeshwanthpur,Afternoon,foggy,Eve Teasing,4,2,9,53,33,52,9,4,7.3
Hyderabad,Abids,Afternoon,sunny,Fraud,3,2,4,76,28,225,4,9,6.39
Pune,Chinchwad,Midnight,cloudy,Eve Teasing,1,1,2,45,24,201,9,2,6.64
Pune,Koregaon Park,Evening,rainy,Eve Teasing,6,3,2,43,43,85,4,6,5.59
Chennai,Tambaram,Morning,sunny,Theft,4,1,2,27,24,49,0,2,2.91
Pune,Baner,Night,rainy,Vandalism,2,4,7,17,37,259,8,5,8.04
Chennai,Chrompet,Evening,stormy,Eve Teasing,8,4,4,57,21,194,2,3,5.2
Pune,Chinchwad,Evening,sunny,Fraud,8,0,4,74,21,247,0,9,6.26
Delhi,Saket,Afternoon,foggy,Vandalism,9,0,1,61,28,55,4,1,3.65
Bangalore,Rajajinagar,Night,stormy,Fraud,7,0,4,71,29,176,9,8,7.91
Pune,Wakad,Midnight,stormy,Robbery,0,0,6,52,36,149,2,5,9.54
Bangalore,Whitefield,Evening,rainy,Chain Snatching,2,0,2,24,34,12,5,4,6.87
Bangalore,Yeshwanthpur,Midnight,stormy,Robbery,1,0,4,66,23,288,6,4,9.89
Kolkata,New Town,Evening,cloudy,Robbery,3,0,7,49,42,63,3,7,8.25
Pune,Wakad,Midnight,sunny,Theft,1,0,9,67,29,104,3,4,7.47
Mumbai,Goregaon,Night,cloudy,Assault,7,0,2,12,23,238,1,7,7.83
Kolkata,Park Street,Afternoon,rainy,Mobile Theft,0,2,8,30,37,33,1,7,6.88
Mumbai,Mulund,Night,rainy,Chain Snatching,3,0,6,42,21,38,6,0,7.37
Bangalore,Marathahalli,Morning,sunny,Theft,4,3,8,45,38,224,4,3,4.77
Bangalore,Koramangala,Afternoon,stormy,Fraud,9,0,2,6,25,128,4,8,5.64
Kolkata,Dum Dum,Night,foggy,Theft,3,4,1,11,19,132,1,1,4.4
Kolkata,Behala,Morning,rainy,Fraud,7,4,7,29,41,39,6,3,4.03
Mumbai,Goregaon,Evening,sunny,Assault,1,0,9,55,23,220,1,3,7.65
Chennai,Velachery,Evening,foggy,Eve Teasing,8,0,9,54,20,93,4,0,5.2
Mumbai,Dadar,Midnight,stormy,Theft,1,4,2,68,21,98,4,9,7.51
Kolkata,Salt Lake,Afternoon,rainy,Pickpocketing,1,3,4,16,42,59,2,9,6.38
Hyderabad,Madhapur,Evening,sunny,Mobile Theft,1,1,1,57,37,128,1,6,5.24
Kolkata,New Town,Afternoon,sunny,Eve Teasing,9,2,7,79,39,131,2,0,3.71
Hyderabad,Madhapur,Evening,sunny,Cyber Crime,7,4,2,14,37,68,4,4,4.26
Delhi,Nehru Place,Midnight,rainy,Carjacking,2,0,4,65,28,13,5,7,9.0
Kolkata,Behala,Night,foggy,Theft,9,2,2,59,33,150,3,3,5.19
Delhi,Janakpuri,Midnight,sunny,Fraud,9,0,1,72,36,173,6,4,6.84
Chennai,Nungambakkam,Morning,stormy,Chain Snatching,7,1,7,46,36,291,1,9,7.37
Mumbai,Bandra,Evening,sunny,Theft,6,1,6,70,25,195,5,2,5.61
Hyderabad,Kukatpally,Morning,foggy,Fraud,9,4,2,48,42,31,8,4,5.03
Mumbai,Chembur,Morning,rainy,Assault,3,2,4,32,21,72,9,2,6.02
Delhi,Vasant Kunj,Afternoon,sunny,Robbery,6,2,3,62,20,193,4,3,6.37
Hyderabad,Secunderabad,Evening,sunny,Theft,7,1,3,6,18,49,3,2,5.1
Mumbai,Andheri,Morning,stormy,Burglary,5,0,3,59,28,56,8,4,5.93
Kolkata,Salt Lake,Night,stormy,Cyber Crime,5,4,4,38,36,116,5,1,5.01
Bangalore,Marathahalli,Morning,sunny,Carjacking,2,3,1,24,17,191,3,8,6.57
Delhi,Rohini,Night,sunny,Burglary,4,1,1,51,31,216,0,2,6.03
Mumbai,Andheri,Afternoon,stormy,Eve Teasing,9,1,7,30,29,110,8,9,7.34
Delhi,Connaught Place,Morning,foggy,Cyber Crime,1,4,5,5,15,88,9,0,4.21
Ahmedabad,Vastrapur,Midnight,cloudy,Eve Teasing,4,0,3,69,35,156,2,4,7.55
Delhi,Dwarka,Afternoon,cloudy,Robbery,4,2,9,79,25,68,5,3,6.2
Hyderabad,Dilsukhnagar,Night,sunny,Robbery,6,1,5,19,27,269,0,1,6.67
Ahmedabad,Chandkheda,Afternoon,stormy,Eve Teasing,3,4,3,18,44,224,5,7,6.73
Pune,Chinchwad,Morning,rainy,Theft,5,4,9,59,38,4,2,8,5.46
Hyderabad,Dilsukhnagar,Evening,rainy,Vandalism,8,4,1,5,17,242,2,5,4.74
Bangalore,Koramangala,Evening,cloudy,Theft,3,2,9,37,27,117,6,7,6.96
Ahmedabad,Isanpur,Night,foggy,Carjacking,5,1,5,74,32,171,8,1,7.82
Pune,Pimpri,Night,cloudy,Eve Teasing,8,4,6,60,38,142,5,5,6.1
Kolkata,Gariahat,Evening,sunny,Burglary,9,2,2,27,23,256,0,0,4.26
Delhi,Janakpuri,Night,foggy,Robbery,0,0,8,58,39,77,8,9,10.0
Mumbai,Mulund,Afternoon,rainy,Burglary,7,3,3,7,16,56,4,2,4.65
Chennai,Anna Nagar,Midnight,stormy,Eve Teasing,0,1,1,50,42,19,1,6,7.1
Delhi,Karol Bagh,Midnight,stormy,Assault,3,2,7,10,22,13,2,0,7.86
Pune,Viman Nagar,Afternoon,sunny,Eve Teasing,2,3,3,29,16,205,4,5,6.09
Delhi,Janakpuri,Midnight,cloudy,Pickpocketing,3,3,4,21,37,236,1,6,6.31
Bangalore,Whitefield,Morning,sunny,Cyber Crime,6,2,5,32,38,180,2,2,3.57
Kolkata,Dum Dum,Afternoon,stormy,Carjacking,8,2,1,36,15,290,7,7,7.53
Chennai,Adyar,Night,rainy,Pickpocketing,8,2,9,27,38,188,5,7,8.14
Ahmedabad,Bopal,Afternoon,stormy,Chain Snatching,9,4,7,20,17,146,1,4,5.26
Ahmedabad,Bopal,Evening,foggy,Burglary,0,0,2,30,43,41,1,1,5.79
Ahmedabad,Vastrapur,Night,stormy,Assault,9,4,1,37,31,0,0,1,4.81
Pune,Baner,Evening,stormy,Carjacking,0,3,2,62,21,103,6,4,7.01
Hyderabad,Kukatpally,Night,foggy,Fraud,8,3,3,52,24,254,5,3,5.63
Hyderabad,Banjara Hills,Midnight,cloudy,Mobile Theft,3,3,3,59,33,208,5,3,6.57
Mumbai,Chembur,Afternoon,stormy,Chain Snatching,2,2,8,45,38,217,4,4,7.34
Chennai,Velachery,Morning,sunny,Vandalism,8,1,5,66,23,77,2,0,2.24
Ahmedabad,Bopal,Night,stormy,Pickpocketing,4,4,9,21,32,50,7,6,7.43
Hyderabad,Jubilee Hills,Night,sunny,Carjacking,5,1,3,63,29,287,2,2,7.01
Pune,Kothrud,Evening,foggy,Carjacking,0,0,6,18,31,99,4,9,8.37
Mumbai,Andheri,Midnight,stormy,Pickpocketing,0,0,4,25,38,211,7,9,9.05
Kolkata,Salt Lake,Evening,foggy,Chain Snatching,6,4,8,67,40,236,2,7,6.69
Mumbai,Chembur,Evening,foggy,Assault,9,3,1,50,36,294,4,8,7.3
Hyderabad,Mehdipatnam,Midnight,cloudy,Assault,7,0,4,59,40,156,5,7,8.65
Bangalore,HSR Layout,Morning,stormy,Robbery,7,1,7,66,31,297,0,1,5.95
Pune,Aundh,Evening,sunny,Theft,6,1,9,43,33,13,1,6,6.17
Bangalore,Koramangala,Evening,sunny,Chain Snatching,8,2,1,46,23,115,6,3,4.92
Ahmedabad,Navrangpura,Night,stormy,Burglary,0,3,8,52,39,138,8,4,8.1
Bangalore,Rajajinagar,Midnight,cloudy,Burglary,1,2,2,32,20,74,9,9,8.6
Ahmedabad,Vastrapur,Afternoon,cloudy,Chain Snatching,2,4,4,10,33,23,3,4,5.28
Ahmedabad,Chandkheda,Morning,cloudy,Cyber Crime,4,0,4,63,22,176,4,8,6.64
Hyderabad,Mehdipatnam,Morning,sunny,Pickpocketing,3,2,8,74,20,54,3,1,3.92
Bangalore,Indiranagar,Midnight,foggy,Burglary,3,2,2,43,31,212,2,1,6.84
Ahmedabad,Maninagar,Night,cloudy,Burglary,7,4,7,61,20,162,9,2,7.12
Chennai,Porur,Night,sunny,Theft,7,1,3,58,27,299,1,4,6.11
Kolkata,New Town,Midnight,sunny,Cyber Crime,6,1,9,64,35,163,2,3,6.89
Mumbai,Kurla,Night,foggy,Carjacking,0,4,5,21,38,88,1,9,8.34
Mumbai,Bandra,Morning,stormy,Carjacking,9,1,8,44,43,14,7,9,8.39
Hyderabad,LB Nagar,Morning,stormy,Chain Snatching,3,4,5,70,16,121,0,8,6.95
Bangalore,Jayanagar,Afternoon,cloudy,Eve Teasing,0,1,1,58,26,177,4,2,5.03
Bangalore,HSR Layout,Midnight,cloudy,Cyber Crime,4,4,9,75,21,268,0,0,5.05
Ahmedabad,Nikol,Evening,foggy,Carjacking,2,1,7,48,20,104,4,4,6.97
Pune,Baner,Evening,cloudy,Pickpocketing,2,2,4,71,31,158,2,7,6.26
Delhi,Nehru Place,Afternoon,foggy,Fraud,3,2,7,61,42,4,8,0,4.92
Ahmedabad,Naranpura,Afternoon,sunny,Eve Teasing,1,1,5,40,22,140,0,0,3.83
Kolkata,Dum Dum,Night,cloudy,Theft,6,4,9,61,20,168,9,5,7.38
Chennai,Chrompet,Afternoon,sunny,Pickpocketing,3,2,2,47,43,16,0,6,3.95
Mumbai,Chembur,Afternoon,rainy,Assault,4,0,4,48,33,31,7,7,8.19
Ahmedabad,Isanpur,Evening,foggy,Theft,1,1,6,66,35,4,2,7,7.31
Delhi,Connaught Place,Night,rainy,Robbery,5,0,5,65,37,136,6,2,8.28
Delhi,Dwarka,Afternoon,cloudy,Burglary,8,0,1,15,23,106,9,3,6.74
Ahmedabad,Satellite,Afternoon,sunny,Vandalism,7,3,9,37,34,161,4,8,5.48
Hyderabad,Abids,Night,cloudy,Assault,7,0,9,70,42,256,1,4,8.11
Mumbai,Borivali,Midnight,rainy,Eve Teasing,1,0,3,27,44,167,6,8,9.99
Hyderabad,Secunderabad,Night,cloudy,Pickpocketing,3,3,4,53,30,287,6,4,6.83
Chennai,Velachery,Evening,stormy,Assault,7,3,4,24,32,244,2,4,6.98
Delhi,Saket,Midnight,rainy,Robbery,0,3,8,19,33,112,5,8,9.68
Delhi,Nehru Place,Morning,cloudy,Pickpocketing,7,4,6,70,21,177,4,5,4.74
Kolkata,Park Street,Night,sunny,Vandalism,2,3,2,34,22,189,0,2,5.12
Chennai,Chrompet,Evening,cloudy,Eve Teasing,7,4,4,8,35,10,0,4,4.66
Delhi,Pitampura,Midnight,sunny,Theft,5,1,1,68,33,22,1,0,4.16
Chennai,Chrompet,Night,stormy,Chain Snatching,6,4,3,69,15,118,6,8,7.36
Mumbai,Mulund,Afternoon,cloudy,Assault,1,1,4,12,40,281,2,9,8.06
Bangalore,Yeshwanthpur,Night,stormy,Vandalism,0,3,8,56,27,68,8,9,8.82
Delhi,Dwarka,Morning,rainy,Robbery,5,3,3,18,15,133,2,6,5.62
Kolkata,Gariahat,Night,sunny,Assault,2,1,5,62,25,252,9,0,8.19
Mumbai,Malad,Midnight,rainy,Fraud,3,2,1,15,16,50,3,3,5.73
Ahmedabad,Ghatlodia,Midnight,sunny,Fraud,8,4,4,63,35,42,7,1,4.28
Chennai,Anna Nagar,Night,stormy,Mobile Theft,2,0,2,28,17,140,3,2,5.9
Ahmedabad,Ghatlodia,Midnight,foggy,Eve Teasing,1,3,4,36,27,24,6,3,7.28
Hyderabad,Madhapur,Afternoon,cloudy,Theft,1,4,5,50,21,269,4,1,3.96
Mumbai,Goregaon,Night,stormy,Cyber Crime,1,4,3,32,16,103,5,9,6.97
Ahmedabad,Ghatlodia,Afternoon,sunny,Eve Teasing,5,3,6,20,16,294,7,0,4.91
Pune,Pimpri,Afternoon,sunny,Eve Teasing,1,1,2,46,17,152,3,3,5.14
Pune,Pimpri,Evening,sunny,Mobile Theft,6,3,5,20,27,160,5,8,5.97
Delhi,Lajpat Nagar,Night,sunny,Burglary,6,4,4,16,26,282,9,8,8.66
Chennai,Mylapore,Midnight,cloudy,Mobile Theft,6,2,5,66,15,44,1,8,7.14
Bangalore,Marathahalli,Afternoon,rainy,Theft,1,1,9,38,32,286,8,2,7.17
Mumbai,Thane,Evening,foggy,Mobile Theft,6,3,6,42,19,165,8,0,5.59
Delhi,Dwarka,Night,cloudy,Cyber Crime,9,0,7,51,33,206,9,0,5.45
Kolkata,New Town,Night,sunny,Burglary,7,3,8,26,41,107,9,2,6.77
Hyderabad,Secunderabad,Morning,cloudy,Pickpocketing,7,4,9,7,24,64,5,9,6.64
Chennai,T.Nagar,Morning,stormy,Vandalism,1,4,5,5,20,266,5,7,6.12
Mumbai,Mulund,Afternoon,sunny,Vandalism,4,0,8,57,32,184,9,3,5.84
Pune,Shivajinagar,Morning,foggy,Theft,5,1,2,68,29,223,6,7,6.28
Mumbai,Chembur,Afternoon,sunny,Theft,8,4,9,48,28,152,3,6,5.81
Bangalore,BTM Layout,Midnight,foggy,Pickpocketing,5,1,2,51,38,288,6,7,8.04
Pune,Koregaon Park,Afternoon,foggy,Vandalism,9,1,5,42,30,284,9,1,5.21
Bangalore,HSR Layout,Morning,rainy,Pickpocketing,5,3,6,67,18,185,0,7,4.95
Kolkata,Howrah,Midnight,rainy,Chain Snatching,9,1,4,45,33,225,6,8,8.72
Hyderabad,LB Nagar,Morning,cloudy,Robbery,9,4,8,25,35,199,0,9,6.4
Kolkata,Howrah,Afternoon,cloudy,Fraud,5,4,3,49,44,10,7,5,4.78
Delhi,Lajpat Nagar,Evening,foggy,Mobile Theft,8,2,5,17,22,276,9,2,6.18
Delhi,Nehru Place,Night,sunny,Chain Snatching,9,1,2,70,39,2,5,6,6.17
Kolkata,Ultadanga,Morning,stormy,Eve Teasing,6,2,3,70,15,277,0,8,7.08
Hyderabad,Jubilee Hills,Afternoon,stormy,Assault,0,3,8,47,34,61,0,7,7.08
Kolkata,Dum Dum,Midnight,sunny,Burglary,0,2,5,66,36,4,3,7,7.67
Hyderabad,Dilsukhnagar,Morning,sunny,Mobile Theft,3,1,3,52,36,8,6,6,5.6
Hyderabad,Secunderabad,Morning,rainy,Carjacking,1,4,5,30,27,57,4,4,6.53
Ahmedabad,Isanpur,Night,stormy,Assault,2,3,9,65,23,279,4,1,8.35
Pune,Chinchwad,Afternoon,foggy,Theft,6,1,3,66,15,237,7,4,5.8
Chennai,Chrompet,Evening,cloudy,Robbery,6,3,7,18,29,126,1,4,6.15
Hyderabad,LB Nagar,Midnight,rainy,Mobile Theft,2,0,8,58,43,236,3,1,7.85
Bangalore,Hebbal,Afternoon,stormy,Chain Snatching,1,1,5,45,29,218,3,9,8.16
Hyderabad,Secunderabad,Midnight,sunny,Carjacking,0,0,3,64,28,177,7,0,7.48
Hyderabad,Jubilee Hills,Morning,stormy,Carjacking,8,2,6,13,19,148,5,4,6.93
Hyderabad,Madhapur,Night,foggy,Cyber Crime,9,1,3,48,40,37,9,5,6.22
Ahmedabad,Vastrapur,Night,rainy,Theft,2,0,9,60,31,117,8,6,7.98
Pune,Aundh,Evening,sunny,Chain Snatching,8,4,2,7,20,96,9,1,4.78
Ahmedabad,Nikol,Night,foggy,Carjacking,3,2,3,63,23,16,8,5,7.82
Delhi,Rohini,Morning,cloudy,Chain Snatching,9,1,7,77,34,278,3,7,5.86
Ahmedabad,Chandkheda,Evening,rainy,Mobile Theft,5,1,8,17,40,153,9,5,7.95
Bangalore,HSR Layout,Afternoon,foggy,Burglary,6,4,5,34,40,93,6,2,5.25
Bangalore,Koramangala,Night,foggy,Mobile Theft,9,4,5,57,39,174,2,2,4.18
Ahmedabad,Ghatlodia,Evening,sunny,Burglary,5,0,5,55,33,28,5,6,7.19
Pune,Wakad,Morning,cloudy,Carjacking,0,0,4,46,41,33,0,1,5.65
Kolkata,Dum Dum,Midnight,foggy,Carjacking,5,0,9,30,37,9,4,2,8.18
Chennai,Anna Nagar,Midnight,rainy,Theft,5,3,6,63,35,275,5,6,7.38
Pune,Chinchwad,Morning,foggy,Chain Snatching,4,2,8,73,40,289,4,8,7.7
Ahmedabad,Navrangpura,Morning,stormy,Vandalism,2,1,8,7,31,100,6,0,5.42
Hyderabad,Dilsukhnagar,Midnight,rainy,Pickpocketing,9,2,5,45,21,140,3,4,5.7
Mumbai,Mulund,Evening,rainy,Pickpocketing,2,4,9,5,22,86,4,1,5.28
Chennai,Tambaram,Midnight,foggy,Assault,9,2,2,69,29,127,3,4,6.93
Chennai,Guindy,Morning,sunny,Assault,6,2,8,74,20,205,8,5,7.64
Bangalore,Yeshwanthpur,Night,rainy,Carjacking,7,0,3,79,15,88,1,7,6.99
Chennai,Anna Nagar,Afternoon,stormy,Fraud,2,4,7,54,23,81,0,6,5.47
Ahmedabad,Vastrapur,Night,sunny,Burglary,2,2,9,63,21,211,3,4,7.36
Hyderabad,Abids,Night,sunny,Eve Teasing,6,1,5,78,44,118,5,4,6.78
Hyderabad,Kukatpally,Morning,sunny,Chain Snatching,9,0,8,67,36,135,9,1,5.46
Delhi,Lajpat Nagar,Midnight,rainy,Robbery,6,2,4,29,34,260,7,5,8.2
Hyderabad,Dilsukhnagar,Evening,sunny,Robbery,8,4,1,14,33,275,3,2,5.54
Pune,Hadapsar,Night,foggy,Burglary,5,1,1,5,18,207,0,5,7.3
Hyderabad,Kukatpally,Midnight,sunny,Assault,6,4,6,18,15,242,8,2,8.38
Bangalore,Whitefield,Evening,stormy,Theft,9,4,8,25,23,99,2,1,4.5
Hyderabad,Dilsukhnagar,Night,cloudy,Robbery,0,4,2,62,16,114,5,7,7.76
Delhi,Nehru Place,Evening,stormy,Carjacking,6,3,4,42,30,15,9,3,6.9
Mumbai,Borivali,Midnight,rainy,Fraud,1,1,3,5,16,3,7,4,7.96
Ahmedabad,Naranpura,Afternoon,sunny,Cyber Crime,6,4,9,9,17,265,4,8,5.6
Bangalore,Whitefield,Midnight,sunny,Robbery,2,3,3,48,28,47,6,3,6.6
Pune,Viman Nagar,Morning,foggy,Mobile Theft,8,0,8,69,27,222,9,0,5.44
Mumbai,Goregaon,Evening,sunny,Cyber Crime,4,3,7,61,31,203,8,5,6.31
Bangalore,BTM Layout,Afternoon,stormy,Cyber Crime,6,0,1,49,24,19,0,4,3.59
Kolkata,Tollygunge,Evening,rainy,Pickpocketing,7,3,8,64,17,287,7,9,7.46
Chennai,Anna Nagar,Evening,cloudy,Fraud,1,4,9,70,18,193,1,2,4.87
Kolkata,Gariahat,Night,sunny,Fraud,0,3,8,51,39,10,0,4,5.28
Hyderabad,Mehdipatnam,Morning,cloudy,Robbery,6,3,1,30,19,19,3,7,5.39
Mumbai,Andheri,Evening,sunny,Theft,5,4,7,13,25,278,5,0,5.33
Hyderabad,Abids,Midnight,rainy,Theft,5,0,9,55,20,34,7,3,8.48
Chennai,Velachery,Midnight,stormy,Assault,1,4,5,12,43,265,0,2,9.0
Bangalore,HSR Layout,Night,rainy,Burglary,2,1,2,9,15,231,0,3,7.55
Chennai,Mylapore,Morning,cloudy,Carjacking,3,3,8,43,33,37,9,1,5.96
Delhi,Janakpuri,Morning,sunny,Eve Teasing,2,1,9,72,44,82,1,1,4.98
Chennai,Mylapore,Midnight,cloudy,Vandalism,1,4,7,44,21,31,8,1,6.12
Delhi,Janakpuri,Afternoon,stormy,Eve Teasing,2,4,5,40,37,53,3,2,5.17
Chennai,Anna Nagar,Night,rainy,Pickpocketing,5,2,8,25,24,224,6,8,8.67
Ahmedabad,Navrangpura,Night,cloudy,Theft,8,1,6,30,43,106,2,4,6.58
Delhi,Dwarka,Midnight,cloudy,Mobile Theft,3,2,4,79,26,24,0,3,5.08
Mumbai,Bandra,Midnight,stormy,Cyber Crime,5,1,1,60,26,44,0,3,5.28
Hyderabad,Mehdipatnam,Afternoon,sunny,Assault,0,2,6,61,43,117,8,2,7.04
Pune,Chinchwad,Afternoon,cloudy,Pickpocketing,5,2,8,63,15,293,3,8,6.41
Hyderabad,LB Nagar,Morning,stormy,Eve Teasing,2,1,3,11,23,124,2,9,6.97
Kolkata,Barasat,Night,sunny,Fraud,8,4,7,46,31,35,4,0,4.59
Hyderabad,Dilsukhnagar,Night,sunny,Cyber Crime,3,0,7,17,37,166,0,5,6.8
Bangalore,Koramangala,Midnight,rainy,Burglary,6,4,9,38,26,268,2,3,7.6
Ahmedabad,Naranpura,Morning,stormy,Fraud,3,0,1,57,42,193,3,7,6.03
Chennai,Porur,Night,sunny,Eve Teasing,5,1,5,50,16,123,5,6,7.94
Kolkata,New Town,Morning,rainy,Robbery,6,3,8,61,23,270,8,2,7.16
